C2T	NC	0.42	5.1675	9	6
CMR5	CT	0.444	4.5455	9	6
C2T	CTBA	0.252	4.7677	9	6
CT	CTB	0.469	4.585	9	6
C2T	CMR	0.331	4.7714	9	6
CT	CTBA	0.383	4.403	9	6
C2T	CTBB	0.252	4.7677	9	6
CT	CTBB	0.383	4.403	9	6
C2T	GL	0.444	4.5455	9	6
CT	OAB	0.437	4.033	9	6
C2T	CM2R	0.254	4.6101	9	6
CT2	CTB	0.383	4.403	9	6
C2T	CMD2	0.33	4.295	9	6
CT2	CTBA	0.312	4.221	9	6
C2T	CMR5	0.331	4.7714	9	6
CT2	CTBB	0.312	4.221	9	6
C2T	W	0.36	4.478	12	4
CT2	OAB	0.415	3.9505	9	6
C2T	C2T	0.4	4.8115	9	6
CTB	CTB	0.269	5.0155	9	6
C2T	OAB	0.437	4.033	9	6
CTB	EST1	0.47	4.4425	9	6
C2T	PH	0.32	4.9925	9	6
CTB	EST2	0.47	4.4425	9	6
C2T	CMDB	0.354	4.8941	9	6
CTB	NC	0.42	5.1675	9	6
C2T	CT2	0.297	4.5272	9	6
CTB	CTBA	0.265	4.4648	9	6
C2T	CM2	0.291	4.588	9	6
CTB	CTBB	0.265	4.4648	9	6
C2T	CM	0.391	4.5455	9	6
CTB	GL	0.444	4.5455	9	6
C2T	CT	0.409	4.8601	9	6
CTB	W	0.36	4.478	12	4
C2T	CTB	0.283	4.9109	9	6
CTB	OAB	0.437	4.033	9	6
C2T	CMB	0.31	4.6564	9	6
CTB	PH	0.32	4.9925	9	6
C2T	EST1	0.47	4.4425	9	6
CTBA	NC	0.32	4.9855	9	6
C2T	EST2	0.47	4.4425	9	6
CTBA	EST1	0.39	4.2605	9	6
CM	CMR	0.42	4.506	9	6
CTBA	EST2	0.39	4.2605	9	6
CM	CM2R	0.39	4.4342	9	6
CTBA	W	0.29	4.296	12	4
CM	CMR5	0.42	4.506	9	6
CTBA	GL	0.362	4.3635	9	6
CM	OAB	0.561	4.093	9	6
CTBA	CTBA	0.265	4.461	9	6
CM	CMDB	0.362	4.379	9	6
CTBA	CTBB	0.265	4.461	9	6
CM	CM2	0.336	4.4619	9	6
CTBA	PH	0.28	4.8105	9	6
CM	CTB	0.444	4.5455	9	6
CTBA	OAB	0.38	3.84	9	6
CM	CMB	0.42	4.506	9	6
CTBB	W	0.29	4.296	12	4
CM	CTBA	0.362	4.3635	9	6
CTBB	NC	0.32	4.9855	9	6
CM	CTBB	0.362	4.3635	9	6
CTBB	GL	0.362	4.3635	9	6
CM2	PH	0.248	4.9368	9	6
CTBB	EST1	0.39	4.2605	9	6
CM2	OAB	0.413	4.0669	9	6
CTBB	EST2	0.39	4.2605	9	6
CM2	CM2R	0.237	4.4403	9	6
CTBB	PH	0.28	4.8105	9	6
CM2	CMD2	0.248	4.2313	9	6
CTBB	OAB	0.38	3.84	9	6
CM2	CMR5	0.333	4.4846	9	6
CTBB	CTBB	0.265	4.461	9	6
CM2	CT2	0.228	4.3199	9	6
EST1	OAB	1.1	3.99	9	6
CM2	CM2	0.265	4.461	9	6
EST2	OAB	1.1	3.99	9	6
CM2	CMDB	0.267	4.3697	9	6
GL	OAB	0.669	4.093	9	6
CM2	CT	0.301	4.4546	9	6
NC	OAB	0.637	3.9319	9	6
CM2	CTB	0.353	4.5246	9	6
OAB	W	1.026	4.0255	9	6
CM2	CMB	0.333	4.4846	9	6
OAB	PH	0.928	3.6166	9	6
CM2	NC	0.306	5.1138	9	6
OAB	OAB	0.58	3.68	9	6
CM2	EST1	0.366	4.3805	9	6
CM2	EST2	0.366	4.3805	9	6
